17:59:04.263810 Soft reset: 0x0000 0x0000 last 0x0000 0x0000
18:12:20.931250 Running 00:00:00:55.960, about 58 task loops/ms
18:12:28.949575 Running 00:00:01:03.960, about 58 task loops/ms
18:12:36.927946 Running 00:00:01:11.955, about 58 task loops/ms
18:12:44.920430 Running 00:00:01:19.938, about 58 task loops/ms
18:12:52.899835 Running 00:00:01:27.933, about 58 task loops/ms
18:13:00.885263 Running 00:00:01:35.916, about 58 task loops/ms
18:13:08.885762 Running 00:00:01:43.914, about 58 task loops/ms
18:13:16.882214 Running 00:00:01:51.910, about 58 task loops/ms
18:13:24.889383 Running 00:00:01:59.909, about 58 task loops/ms
18:13:32.868682 Running 00:00:02:07.904, about 58 task loops/ms
18:13:40.849183 Running 00:00:02:15.885, about 58 task loops/ms
18:13:48.860717 Running 00:00:02:23.884, about 58 task loops/ms
18:13:56.836977 Running 00:00:02:31.878, about 58 task loops/ms
18:14:04.837056 Running 00:00:02:39.862, about 58 task loops/ms
18:14:12.832799 Running 00:00:02:47.860, about 58 task loops/ms
18:14:20.811246 Running 00:00:02:55.855, about 58 task loops/ms
18:14:28.807922 Running 00:00:03:03.852, about 58 task loops/ms
18:14:36.810034 Running 00:00:03:11.851, about 58 task loops/ms
18:14:44.799769 Running 00:00:03:19.833, about 58 task loops/ms
18:14:52.779245 Running 00:00:03:27.826, about 58 task loops/ms
18:15:00.776594 Running 00:00:03:35.825, about 58 task loops/ms
19:44:50.135849 Running 00:00:00:04.392, about 58 task loops/ms
19:44:53.751960 Running 00:00:00:08.004, about 58 task loops/ms
19:45:01.732276 Running 00:00:00:16.000, about 58 task loops/ms
19:45:09.712403 Running 00:00:00:23.981, about 58 task loops/ms
19:45:17.709199 Running 00:00:00:31.977, about 58 task loops/ms
19:45:25.707135 Running 00:00:00:39.976, about 58 task loops/ms
19:45:33.698074 Running 00:00:00:47.973, about 58 task loops/ms
19:45:41.679741 Running 00:00:00:55.954, about 58 task loops/ms
19:45:49.681944 Running 00:00:01:03.950, about 58 task loops/ms
19:45:57.665840 Running 00:00:01:11.943, about 58 task loops/ms
18:54:29.714821 Running 00:00:00:04.410, about 58 task loops/ms
18:54:33.312836 Running 00:00:00:08.003, about 58 task loops/ms
18:54:41.296322 Running 00:00:00:15.995, about 58 task loops/ms
18:54:49.286515 Running 00:00:00:23.988, about 58 task loops/ms
18:54:57.287790 Running 00:00:00:31.982, about 58 task loops/ms
18:55:05.267585 Running 00:00:00:39.974, about 58 task loops/ms
18:55:13.253021 Running 00:00:00:47.965, about 58 task loops/ms
18:57:08.516620 Running 00:00:00:04.399, about 58 task loops/ms
18:57:12.114529 Running 00:00:00:08.005, about 58 task loops/ms
18:57:20.105519 Running 00:00:00:15.997, about 58 task loops/ms
18:58:09.013471 Running 00:00:00:04.411, about 58 task loops/ms
18:58:12.609972 Running 00:00:00:08.005, about 58 task loops/ms
22:45:09.246203 Running 00:00:00:04.408, about 58 task loops/ms
22:45:12.827174 Running 00:00:00:07.998, about 58 task loops/ms
22:46:12.903200 Running 00:00:00:04.396, about 58 task loops/ms
22:46:16.496371 Running 00:00:00:08.003, about 58 task loops/ms
23:26:09.571151 Running 00:00:00:04.406, about 58 task loops/ms
23:26:13.167742 Running 00:00:00:08.000, about 58 task loops/ms
23:26:21.159753 Running 00:00:00:16.007, about 58 task loops/ms
23:26:29.135407 Running 00:00:00:23.983, about 58 task loops/ms
23:26:37.144256 Running 00:00:00:31.979, about 58 task loops/ms
23:26:45.134420 Running 00:00:00:39.971, about 58 task loops/ms
23:28:01.549137 Running 00:00:00:04.409, about 58 task loops/ms
23:28:05.145575 Running 00:00:00:08.002, about 58 task loops/ms
23:28:29.791302 Running 00:00:00:04.396, about 58 task loops/ms
23:28:33.391349 Running 00:00:00:08.004, about 58 task loops/ms
23:28:41.388169 Running 00:00:00:15.996, about 58 task loops/ms
09:47:47.745912 Running 00:00:00:04.397, about 58 task loops/ms
09:47:51.343855 Running 00:00:00:07.993, about 58 task loops/ms
09:47:59.324009 Running 00:00:00:15.987, about 58 task loops/ms
09:52:38.589870 Running 00:00:00:04.404, about 58 task loops/ms
09:52:42.178380 Running 00:00:00:07.999, about 58 task loops/ms
09:52:50.184314 Running 00:00:00:15.996, about 58 task loops/ms
09:52:58.176642 Running 00:00:00:23.994, about 58 task loops/ms
09:53:06.159696 Running 00:00:00:31.975, about 58 task loops/ms
09:53:14.156024 Running 00:00:00:39.972, about 58 task loops/ms
09:53:22.148010 Running 00:00:00:47.969, about 58 task loops/ms
10:12:04.738675 Running 00:00:00:04.397, about 58 task loops/ms
10:12:08.340609 Running 00:00:00:08.007, about 58 task loops/ms
10:36:58.655693 Running 00:00:00:04.396, about 58 task loops/ms
10:37:02.268712 Running 00:00:00:08.006, about 58 task loops/ms
10:37:10.250778 Running 00:00:00:15.987, about 58 task loops/ms
10:37:18.231239 Running 00:00:00:23.982, about 58 task loops/ms
10:37:26.225532 Running 00:00:00:31.979, about 58 task loops/ms
10:38:28.898657 Running 00:00:00:04.396, about 58 task loops/ms
10:38:32.512325 Running 00:00:00:08.020, about 58 task loops/ms
10:38:40.476061 Running 00:00:00:15.986, about 58 task loops/ms
10:38:48.469371 Running 00:00:00:23.983, about 58 task loops/ms
10:38:56.466148 Running 00:00:00:31.979, about 58 task loops/ms
10:39:04.459800 Running 00:00:00:39.976, about 58 task loops/ms
10:39:12.458801 Running 00:00:00:47.960, about 58 task loops/ms
10:40:53.669911 Running 00:00:00:04.403, about 58 task loops/ms
10:40:57.259255 Running 00:00:00:07.998, about 58 task loops/ms
10:41:05.262869 Running 00:00:00:15.996, about 58 task loops/ms
10:41:13.243346 Running 00:00:00:23.991, about 58 task loops/ms
10:41:21.224096 Running 00:00:00:31.972, about 58 task loops/ms
11:08:09.679797 Running 00:00:00:04.406, about 58 task loops/ms
11:08:13.326883 Running 00:00:00:08.061, about 58 task loops/ms
11:08:21.482602 Running 00:00:00:16.218, about 58 task loops/ms
11:08:29.734534 Running 00:00:00:24.472, about 58 task loops/ms
11:08:37.473716 Running 00:00:00:32.212, about 58 task loops/ms
11:08:45.406542 Running 00:00:00:40.141, about 58 task loops/ms
11:14:12.758910 Running 00:00:00:04.403, about 58 task loops/ms
11:14:16.407284 Running 00:00:00:08.054, about 58 task loops/ms
11:26:51.622853 Running 00:00:00:04.395, about 58 task loops/ms
11:26:55.237653 Running 00:00:00:08.012, about 58 task loops/ms
11:28:56.000621 Running 00:00:00:04.405, about 58 task loops/ms
11:28:59.615335 Running 00:00:00:08.027, about 58 task loops/ms
11:29:07.611453 Running 00:00:00:16.021, about 58 task loops/ms
19:02:41.766626 Running 00:00:00:04.411, about 58 task loops/ms
19:02:45.349746 Running 00:00:00:08.001, about 58 task loops/ms
19:02:53.377651 Running 00:00:00:16.030, about 58 task loops/ms
